name,selected,executions,jaccard,hamming,dice,kuncheva,canberra,spearman,pearson
Autoencoder,5,30,0.00025542784163473816,0.9997445721583653,0.00045977011494252877,6.441364398095235e-05,9.992339393982832,3.52716845381548e-05,-0.997327076095407
Autoencoder,10,30,0.0009679370840895341,0.9990320629159104,0.001839080459770115,0.0010491462087886092,19.95701726571357,0.001003165839860412,-0.99471723267036
Autoencoder,20,30,0.0012378426171529618,0.998762157382847,0.002413793103448276,0.0008335836833682004,39.86256932601021,0.0007958529420944814,-0.9931249054112695
Autoencoder,50,30,0.0036613343301678076,0.9963386656698321,0.007218390804597702,0.0032775301774327185,99.0320671261859,0.0032287247726972435,-0.987159962576665
Autoencoder,100,30,0.006162031026444615,0.9938379689735554,0.012183908045977012,0.004310353989273495,196.5025428613724,0.004258462098552048,-0.9808613877783978
Autoencoder,200,30,0.011456309598220084,0.9885436904017799,0.022586206896551726,0.00687973424504203,386.61296573072235,0.006843773857653827,-0.969089457318736
ChannelAttention,5,30,0.003831417624521073,0.996168582375479,0.006896551724137931,0.0065037412470095955,9.948305109314433,0.006440140656804558,-0.9924693540453776
ChannelAttention,10,30,0.005216105397593601,0.9947838946024065,0.009885057471264369,0.009101490723457518,19.836437262236473,0.009035504664111202,-0.9890611748842061
ChannelAttention,20,30,0.008632281590539304,0.9913677184094606,0.016551724137931035,0.01499390966642451,39.42039374942102,0.014945213332611255,-0.9820248277865816
ChannelAttention,50,30,0.01433164502013937,0.9856683549798607,0.027494252873563222,0.02363387756740874,97.44910774518172,0.0235874611276809,-0.969890383137668
ChannelAttention,100,30,0.020164458096920686,0.9798355419030793,0.038620689655172416,0.030957854406130268,192.41858978170646,0.030931054203811478,-0.9570770589503984
ChannelAttention,200,30,0.030623936671747627,0.9693760633282522,0.05800000000000001,0.04286260645990679,375.8246595394751,0.042912852652807996,-0.9352052389095445
IntegratedGradients,5,20,0.003654970760233918,0.996345029239766,0.006315789473684211,0.0059227492828265605,9.94872206974562,0.005871747405751588,-0.9867340047731925
IntegratedGradients,10,20,0.005632502308402584,0.9943674976915974,0.010526315789473684,0.00974325652688226,19.83209362842811,0.009708322907268415,-0.98032502314552
IntegratedGradients,20,20,0.006961297543014993,0.993038702456985,0.013421052631578948,0.011858279073257354,39.54278065042133,0.011818329449101366,-0.9742665407729395
IntegratedGradients,50,20,0.013735856141856857,0.9862641438581432,0.02673684210526316,0.022873460246360583,97.56204974056914,0.02281947512660332,-0.9568840895568728
IntegratedGradients,100,20,0.01947404107126041,0.9805259589287396,0.03789473684210526,0.03022611526424862,192.5837021344725,0.030198863434041576,-0.9392277647865167
IntegratedGradients,200,20,0.031637156191365805,0.9683628438086341,0.061000000000000006,0.04591081471958862,375.03940179271694,0.04595547648791941,-0.9066829581700078
KruskallWallisFilter,5,10,0.29708994708994707,0.7029100529100529,0.4355555555555556,0.43533229614394087,6.833904289490434,0.435338963372704,-0.5235970762678962
KruskallWallisFilter,10,10,0.3365366659484306,0.6634633340515694,0.4977777777777778,0.4973803242939044,12.451373441105407,0.49743159107688606,-0.43867942331196613
KruskallWallisFilter,20,10,0.4604365694317493,0.5395634305682507,0.6266666666666667,0.626075294366123,20.142416744031472,0.6261897979262346,-0.285749986125405
KruskallWallisFilter,50,10,0.5444817416907989,0.4555182583092012,0.7035555555555555,0.7023788151441375,41.282846882013175,0.7028174735748951,-0.1214725383666301
KruskallWallisFilter,100,10,0.6281477490140676,0.37185225098593266,0.770888888888889,0.7690627203004057,67.29594680858335,0.7698776306394833,0.05617123597561284
KruskallWallisFilter,200,10,0.6217175201472214,0.37828247985277863,0.766,0.7622397557448176,128.77087455017983,0.7641341480572795,0.22348839558906144
Lasso,5,10,0.07345679012345678,0.9265432098765432,0.12444444444444448,0.1240981286642231,9.02025396500333,0.12409522859967725,-0.8562385456147106
Lasso,10,10,0.09462408745174482,0.9053759125482549,0.16666666666666666,0.1660071752664345,17.470246931859656,0.1660097402307841,-0.7990178796211879
Lasso,20,10,0.12653303076419692,0.8734669692358028,0.2211111111111111,0.2198773254483694,33.259664583002696,0.21991291094242307,-0.7181537178080292
Lasso,50,10,0.20916170362410705,0.7908382963758928,0.34400000000000003,0.34139599872975546,73.09195508896163,0.34157941530307784,-0.5350909254741296
Lasso,100,10,0.40823900558916015,0.5917609944108397,0.5766666666666667,0.5732924172378979,94.84098020649625,0.5726066263508975,-0.45680436743782893
Lasso,200,10,0.6758830390935631,0.32411696090643694,0.8055555555555556,0.8024309461317338,96.36519376231772,0.8010343074810291,-0.3532238003539669
RandomForest,5,30,0.03166392993979201,0.968336070060208,0.053793103448275856,0.053418842354789706,9.617339343408172,0.053378992932625616,-0.8545905478146689
RandomForest,10,30,0.038460078526268336,0.9615399214737317,0.06873563218390805,0.06799863917360724,18.979106252484392,0.0679666402937002,-0.8003331709296089
RandomForest,20,30,0.03927842065986616,0.9607215793401338,0.07287356321839081,0.07140496439567322,37.76707647647033,0.07138918452322252,-0.7457492684860603
RandomForest,50,30,0.05335211969776398,0.9466478803022361,0.09977011494252874,0.0961966396922212,92.03439277078648,0.09624050548205261,-0.6739432282256169
RandomForest,100,30,0.06113559920866931,0.9388644007913307,0.11416091954022989,0.10710019037986188,181.08846951175852,0.10727606591056899,-0.6183373795166758
RandomForest,200,30,0.05306388386443797,0.946936116135562,0.10035632183908046,0.08589956981978239,363.24413656185556,0.08640337693264769,-0.5613385666027239
SVMRFE,5,3,0.12037037037037036,0.8796296296296297,0.20000000000000004,0.19968356933786882,8.530389992616746,0.19963180866975558,
SVMRFE,10,3,0.11340442609792456,0.8865955739020753,0.20000000000000004,0.19936688825577717,16.712390133672496,0.19934174052922224,
SVMRFE,20,3,0.12288759347582877,0.8771124065241712,0.21666666666666665,0.21542584085748984,33.39654620074926,0.21548168655482355,
SVMRFE,50,3,0.2606837606837607,0.7393162393162394,0.41333333333333333,0.4110045517095375,67.21371898832948,0.41114036754491573,
SVMRFE,100,3,0.3158274424753829,0.684172557524617,0.48,0.4758552526701738,121.76564902757609,0.47639175558062,
SVMRFE,200,3,0.3700029351964332,0.6299970648035669,0.54,0.5326080668487867,220.73372395055642,0.5340093281439412,
Sensitivity,5,30,0.0033205619412515963,0.9966794380587484,0.005977011494252874,0.005583837303719789,9.951849257848698,0.005541959276733496,-0.9889638456873778
Sensitivity,10,30,0.00486657256167238,0.9951334274383278,0.009195402298850575,0.008411289765057325,19.841798302326854,0.008364860549568611,-0.983814061237426
Sensitivity,20,30,0.00831483444913572,0.9916851655508643,0.016091954022988502,0.01453341126047146,39.43871295834323,0.014488271719178993,-0.9740933796087115
Sensitivity,50,30,0.01692395893583213,0.9830760410641678,0.03296551724137931,0.02912686019644989,97.03744357721784,0.029078714669138698,-0.9516673256115923
Sensitivity,100,30,0.023563719005600847,0.9764362809943992,0.04577011494252874,0.038164265388428056,191.34998138298744,0.03814548230416713,-0.9319654117617592
Sensitivity,200,30,0.03411059047571015,0.9658894095242899,0.06573563218390804,0.050722545765523146,373.5264471120865,0.05078576307771189,-0.9024845850988724
VAE,5,30,0.0005108556832694763,0.9994891443167305,0.0009195402298850575,0.0005243656156258554,9.989925503684448,0.00048082455692456737,-0.9978442396128021
VAE,10,30,0.0006049606775559588,0.999395039322444,0.0011494252873563218,0.00035894525038841725,19.970169897942537,0.0003179116674882099,-0.9968675516186954
VAE,20,30,0.0010610079575596818,0.9989389920424403,0.00206896551724138,0.0004882098789034125,39.87341776028279,0.00043945816445282505,-0.995380477607049
VAE,50,30,0.0019761300549477894,0.9980238699450523,0.003908045977011494,-4.5955110726630816e-05,99.29556246331215,-8.969721760721802e-05,-0.9927478467357418
VAE,100,30,0.0037545475825872835,0.9962454524174127,0.007448275862068965,-0.0004630243462678038,197.25023490543626,-0.0005099642558868266,-0.9884043776857427
VAE,200,30,0.007634654240195167,0.9923653457598048,0.015114942528735633,-0.0007115890070391444,388.9683784922553,-0.000770500901993449,-0.9797635365769095
